
http://localhost:4000/ , Method = GET , Date = Sun Jul 19 2020 15:02:39 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 15:02:48 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/5f14bdd034dfb452aca1877e , Method = GET , Date = Sun Jul 19 2020 15:03:02 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/id/5f14bdd034dfb452aca1877e , Method = GET , Date = Sun Jul 19 2020 15:03:09 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/id/5f14bdd034dfb452aca1877e , Method = GET , Date = Sun Jul 19 2020 15:04:08 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/id/5f14bdd034dfb452aca1877e , Method = GET , Date = Sun Jul 19 2020 15:04:11 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/ , Method = GET , Date = Sun Jul 19 2020 15:04:32 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/Uri:%20The%20Surgical%20Strike , Method = GET , Date = Sun Jul 19 2020 15:04:57 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/title/Uri:%20The%20Surgical%20Strike , Method = GET , Date = Sun Jul 19 2020 15:05:09 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/title/5f14bdd034dfb452aca1877e , Method = GET , Date = Sun Jul 19 2020 15:05:24 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/id/5f14bdd034dfb452aca1877e , Method = GET , Date = Sun Jul 19 2020 15:05:27 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/id/5f14bdd034dfb452aca1877e , Method = GET , Date = Sun Jul 19 2020 15:05:43 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 17:22:41 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles , Method = GET , Date = Sun Jul 19 2020 17:22:45 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles , Method = GET , Date = Sun Jul 19 2020 17:23:06 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/ , Method = GET , Date = Sun Jul 19 2020 17:44:41 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 17:44:52 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/sujoy , Method = GET , Date = Sun Jul 19 2020 17:45:03 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/sujoy , Method = GET , Date = Sun Jul 19 2020 17:48:02 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles , Method = GET , Date = Sun Jul 19 2020 17:48:13 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/sujoy , Method = GET , Date = Sun Jul 19 2020 17:50:27 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/sujoy , Method = GET , Date = Sun Jul 19 2020 17:51:51 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/sujoy , Method = GET , Date = Sun Jul 19 2020 17:52:06 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles , Method = GET , Date = Sun Jul 19 2020 17:52:21 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 17:52:32 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies/title/Uri:%20The%20Surgical%20Strike , Method = GET , Date = Sun Jul 19 2020 17:53:06 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles , Method = GET , Date = Sun Jul 19 2020 17:53:50 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/nivi , Method = GET , Date = Sun Jul 19 2020 17:53:55 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
